data,data1
Publié sur {ChannelName},Publi?? dans %{channelName}
Publié sur {ChannelName},Publi?? dans %{channelName}
#NOM?,#NOM?
#NOM?,#NOM?
#NOM?,- Niveau de compétence id??al
#NOM?,- Niveau de compétence id??al
#NOM?,- Niveau de compétence id??al atteint
#NOM?,- Niveau de compétence id??al atteint
Ma partition est un tracker personnel de votre apprentissage et de votre influence.Chaque action que vous entreprenez sur Edcast vous gagne des points et affecte votre score.Vous pouvez voir en temps réel comment vous allez par rapport à vos collègues.Les points sont gagnés par:,"""Mon score"" est l'aggr??gat de votre apprentissage et de votre influence. Chaque action r??alis??e sur Edcast vous rapporte des points et influence votre score. Les points se gagnent en :"
Ma partition est un tracker personnel de votre apprentissage et de votre influence.Chaque action que vous entreprenez sur Edcast vous gagne des points et affecte votre score.Vous pouvez voir en temps réel comment vous allez par rapport à vos collègues.Les points sont gagnés par:,"""Mon score"" est l'aggr??gat de votre apprentissage et de votre influence. Chaque action r??alis??e sur Edcast vous rapporte des points et influence votre score. Les points se gagnent en :"
Mon score vous aide à mesurer vos progrès,"""Mon score"" vous aide ? mesurer vos progr??s"
Mon score vous aide à mesurer vos progrès,"""Mon score"" vous aide ? mesurer vos progr??s"
Aime:,??j??aime??:
Aime:,??j??aime??:
(% {type} section),(% {type} section)
(% {type} section),(% {type} section)
(Current),(Actuel)
(Besoin de 3 caractères minimum),(Au moins 3 caractères minimum)
(Besoin de 3 caractères minimum),(Au moins 3 caractères minimum)
(Contenu de partout sur le Web),(Contenu de l'ensemble du web)
(Contenu de partout sur le Web),(Contenu de l'ensemble du web)
"(jpg, jpeg, png, jusqu'à% {size})","(jpg, jpeg, png, jusqu '?% {size})"
"(jpg, jpeg, png, jusqu'à% {size})","(jpg, jpeg, png, jusqu '?% {size})"
"(jpg, jpeg, png, jusqu'à% {size})","(jpg, jpeg, png, jusqu '?% {size})"
"(jpg, jpeg, png, jusqu'à% {size})","(jpg, jpeg, png, jusqu '?% {size})"
(Maximum de 15 collaborateurs),(Maximum de 15 collaborateurs)
(Maximum de 15 collaborateurs),(Maximum de 15 collaborateurs)
(Maximum de 3 compétences),(Maximum de 3 comp.)
(Maximum de 3 compétences),(Maximum de 3 comp.)
(Maximum de 3 compétences),(Maximum de 3 comp.)
(Maximum de 3 compétences),(Maximum de 3 comp.)
(Mois: jours: HRS: MINS),(MOIS : JOURS : H : MIN)
(Mois: jours: HRS: MINS),(MOIS : JOURS : H : MIN)
(Peut être utilisé pour contrôler les badges d'attribution pour l'achèvement de la voie),(peut ?être utilisé?? pour contrôler l'attribution des badges pour l'ach??vement de Pathway)
(Peut être utilisé pour contrôler les badges d'attribution pour l'achèvement de la voie),(peut ?être utilisé?? pour contrôler l'attribution des badges pour l'ach??vement de Pathway)
(Section de contenu),(Section de contenu)
(Section de contenu),(Section de contenu)
(Section de canal),(Section de la canal)
(Section de canal),(Section de la canal)
Recevoir des recommandations de contenu uniquement dans les langues sélectionnées.,[fuzzy]Recevoir des recommandations de contenu uniquement dans les langues s??lectionn??es
Recevoir des recommandations de contenu uniquement dans les langues sélectionnées.,[fuzzy]Recevoir des recommandations de contenu uniquement dans les langues s??lectionn??es
Veuillez sélectionner une compétence.,[fuzzy]Veuillez sélectionner une compétence
Veuillez sélectionner une compétence.,[fuzzy]Veuillez sélectionner une compétence
Veuillez sélectionner une compétence.(besoin de 3 caractères minimum).,[fuzzy]Veuillez sélectionner une compétence (au moins 3 caract??res minimum).
Veuillez sélectionner une compétence.(besoin de 3 caractères minimum).,[fuzzy]Veuillez sélectionner une compétence (au moins 3 caract??res minimum).
[Mois: jours: heures: min],[Mois : Jours : Heures : Minutes]
[Mois: jours: heures: min],[Mois : Jours : Heures : Minutes]
{Tout le type de carte standard possible},{tous les types de cartes standard possibles}
{Tout le type de carte standard possible},{tous les types de cartes standard possibles}
* La suppression des utilisateurs ou des groupes sera inférieur au contenu.,* La suppression d'utilisateurs ou de groupes annule le partage du contenu.
* La suppression des utilisateurs ou des groupes sera inférieur au contenu.,* La suppression d'utilisateurs ou de groupes annule le partage du contenu.
* La suppression des utilisateurs ou des groupes désassignerra le contenu.,* La suppression d'utilisateurs ou de groupes d??sattribuera le contenu.
* La suppression des utilisateurs ou des groupes désassignerra le contenu.,* La suppression d'utilisateurs ou de groupes d??sattribuera le contenu.
* indique requis,* signifie obligatoire
* indique requis,* signifie obligatoire
* Excl.Taxes,* Taxes de chevaux
* Excl.Taxes,* Taxes de chevaux
#Cloud computing,#Cloud computing
#Cloud computing,#Cloud computing
% Complété,% Complà? Tude
% Complété,% Complà? Tude
% {Taille de carte acceptée} à accepter,%{accepted Cards Size} fiches qui vont ?très accept??es
% {Taille de carte acceptée} à accepter,%{accepted Cards Size} fiches qui vont ?très accept??es
% {action} image,% {action} image
% {action} image,% {action} image
% {AssignedUser} sur% {attribuéaDatFormatTdDate},% {AssignedUser} le% {attribuéaDatFormatTdDate}
% {AssignedUser} sur% {attribuéaDatFormatTdDate},% {AssignedUser} le% {attribuéaDatFormatTdDate}
% {clctarget} hrs,% {clctarget} hrs
% {clctarget} hrs,% {clctarget} hrs
% {commentaires} Commentaires,%{commentsCount} commentaires
% {commentaires} Commentaires,%{commentsCount} commentaires
% {count},% {count} ?? l ?? ments
% {count},% {count} ?? l ?? ments
% {count} Nouveaux utilisateurs,%{count} nouveaux utilisateurs
% {count} Nouveaux utilisateurs,%{count} nouveaux utilisateurs
% {count} de% {total} groupes sélectionnés,%{count} parmi %{total} groupes s??lectionn??s
% {count} de% {total} groupes sélectionnés,%{count} parmi %{total} groupes s??lectionn??s
% {count} de% {total} utilisateurs sélectionnés,%{count} parmi %{total} utilisateurs s??lectionn??s
% {count} de% {total} utilisateurs sélectionnés,%{count} parmi %{total} utilisateurs s??lectionn??s
% {count} SmartCards consommé,% {count} Les cartes à smart se complaient ?? t ?? es
% {count} SmartCards consommé,% {count} Les cartes à smart se complaient ?? t ?? es
% {count} SmartCards créé,% {count} SmartCards cr ???? es
% {count} SmartCards créé,% {count} SmartCards cr ???? es
% {count} de% {total} individus sélectionnés,%{count} sur %{total} individus s??lectionn??s
% {count} de% {total} individus sélectionnés,%{count} sur %{total} individus s??lectionn??s
% {count} utilisateurs actifs,%{count} utilisateurs actifs
% {count} utilisateurs actifs,%{count} utilisateurs actifs
% {comte} vote,% {comte} vote
% {comte} vote,% {comte} vote
% {comte} votes,% {comte} votes
% {comte} votes,% {comte} votes
Affichage de% {currentCount} sur% {totalCount},%{currentCount} visibles sur %{totalCount}
Affichage de% {currentCount} sur% {totalCount},%{currentCount} visibles sur %{totalCount}
"% {date}, à% {heure}","%{Date}, ?%{temps}"
"% {date}, à% {heure}","%{Date}, ?%{temps}"
% {errormsg},% {errormsg}
% {errormsg},% {errormsg}
% {filtrezing} filtres,% {taille de filtre} filtre
% {filtrezing} filtres,% {taille de filtre} filtre
% {label} Commentaire,%{label} Commentaire
% {label} Commentaire,%{label} Commentaire
% {label} Remarques,%{label} Remarques
