data,data1
Veröffentlicht an {ChannelName},Veröffentlicht??In %{ChannelName}
Veröffentlicht an {ChannelName},Veröffentlicht??In %{ChannelName}
#NAME?,#NAME?
#NAME?,#NAME?
#NAME?,- Niveau der Skill -ID?
#NAME?,- Niveau der Skill -ID?
#NAME?,- Niveau der Skill -ID?
#NAME?,- Niveau der Skill -ID?
"Meine Punktzahl ist ein persönlicher Tracker Ihres Lernens und Einflusses.Jede Aktion, die Sie auf Edcast ergreifen, erhält Sie Punkte und wirkt sich auf Ihre Punktzahl aus.Sie können in Echtzeit sehen, wie es Ihnen im Vergleich zu Ihren Kollegen geht.Punkte werden verdient von:","""Meine Partitur"" ist die Aggregation Ihres Lernens und Ihres Einflusses.Jede Aktion befindet sich auf Edcast Reports Points und beeinflusst Ihre Punktzahl.Die Punkte gewinnen an:"
"Meine Punktzahl ist ein persönlicher Tracker Ihres Lernens und Einflusses.Jede Aktion, die Sie auf Edcast ergreifen, erhält Sie Punkte und wirkt sich auf Ihre Punktzahl aus.Sie können in Echtzeit sehen, wie es Ihnen im Vergleich zu Ihren Kollegen geht.Punkte werden verdient von:","""Meine Partitur"" ist die Aggregation Ihres Lernens und Ihres Einflusses.Jede Aktion befindet sich auf Edcast Reports Points und beeinflusst Ihre Punktzahl.Die Punkte gewinnen an:"
"Meine Punktzahl hilft Ihnen, Ihren Fortschritt zu messen","""Meine Partitur"" hilft dir?Messen Sie Ihren Fortschritt"
"Meine Punktzahl hilft Ihnen, Ihren Fortschritt zu messen","""Meine Partitur"" hilft dir?Messen Sie Ihren Fortschritt"
Likes:,??Ich mag??:
Likes:,??Ich mag??:
(%{Typ} Abschnitt),(%{Typ} Abschnitt)
(%{Typ} Abschnitt),(%{Typ} Abschnitt)
(Aktuell),(Aktuell)
(Aktuell),(Aktuell)
(Brauchen mindestens 3 Zeichen),(Mindestens 3 Zeichen mindestens)
(Brauchen mindestens 3 Zeichen),(Mindestens 3 Zeichen mindestens)
(Inhalte aus dem gesamten Web),(Inhalt des gesamten Webs)
(Inhalte aus dem gesamten Web),(Inhalt des gesamten Webs)
"(JPG, JPEG, PNG, bis zu %{Größe})","(JPG, JPEG, PNG, Jusqu '? %{Größe})"
"(JPG, JPEG, PNG, bis zu %{Größe})","(JPG, JPEG, PNG, Jusqu '? %{Größe})"
"(JPG, JPEG, PNG, bis zu %{Größe})","(JPG, JPEG, PNG, Jusqu '? %{Größe})"
"(JPG, JPEG, PNG, bis zu %{Größe})","(JPG, JPEG, PNG, Jusqu '? %{Größe})"
(Maximal 15 Mitarbeiter),(Maximal 15 Mitarbeiter)
(Maximal 15 Mitarbeiter),(Maximal 15 Mitarbeiter)
(Maximal 3 Fähigkeiten),(Maximum de 3 comp? Teces)
(Maximal 3 Fähigkeiten),(Maximum de 3 comp? Teces)
(Maximal 3 Fähigkeiten),(Maximum de 3 comp? Teces)
(Maximal 3 Fähigkeiten),(Maximum de 3 comp? Teces)
(Monat: Tage: HRS: mins),(Monat: Tage: H: min)
(Monat: Tage: HRS: mins),(Monat: Tage: H: min)
"(Kann verwendet werden, um die Vergabe von Abzeichen für die Fertigstellung des Pfades zu kontrollieren)",(kann verwendet werden?
"(Kann verwendet werden, um die Vergabe von Abzeichen für die Fertigstellung des Pfades zu kontrollieren)",(kann verwendet werden?
(Inhaltsabschnitt),(Inhaltsabschnitt)
(Inhaltsabschnitt),(Inhaltsabschnitt)
(Kanalabschnitt),(Abschnitt des Kanals)
(Kanalabschnitt),(Abschnitt des Kanals)
Erhalten Sie Inhaltsempfehlungen nur in den ausgewählten Sprachen.,[Fuzzy] Erhalten Sie Inhaltsempfehlungen nur in den Sprachen
Erhalten Sie Inhaltsempfehlungen nur in den ausgewählten Sprachen.,[Fuzzy] Erhalten Sie Inhaltsempfehlungen nur in den Sprachen
Bitte wählen Sie eine Fähigkeit.,[Fuzzy] Bitte wählen Sie eine Fähigkeit aus
Bitte wählen Sie eine Fähigkeit.,[Fuzzy] Bitte wählen Sie eine Fähigkeit aus
Bitte wählen Sie eine Fähigkeit.(benötigen mindestens 3 Zeichen).,[Fuzzy] Bitte wählen Sie eine Fähigkeit (mindestens 3 Mindestmerkmale).
Bitte wählen Sie eine Fähigkeit.(benötigen mindestens 3 Zeichen).,[Fuzzy] Bitte wählen Sie eine Fähigkeit (mindestens 3 Mindestmerkmale).
[Monat: Tage: Stunden: mins],[Monat: Tage: Stunden: Minuten]
[Monat: Tage: Stunden: mins],[Monat: Tage: Stunden: Minuten]
{Alle möglichen Standardkartentypen},{Alle Standardkartentypen}}
{Alle möglichen Standardkartentypen},{Alle Standardkartentypen}}
*Das Entfernen von Benutzern oder Gruppen wird Inhalt nicht geschafft.,* Die Löschung von Benutzern oder Gruppen spricht die Freigabe von Inhalten ab.
*Das Entfernen von Benutzern oder Gruppen wird Inhalt nicht geschafft.,* Die Löschung von Benutzern oder Gruppen spricht die Freigabe von Inhalten ab.
